Age,Gender,Major,MajorChange,AverageGrades,Absense,AdvideMentoring,Ethnicity,LanguageNative,FinancialSituation,FatherEducation,MotherEducation,MotherOccupation,FatherOccupation,MentalHealthStatus,PhysicalHealthStatus,FamilySupport,FamilyFinancialSupport,PeerSupport,AcademicActivities,ClubActivities,InternetUsageForStudy,OnlineToolsUsage,SocialMediaTime,FacilityQuality,TeachingQuality,RecentLifeEvent,LocalEconomicCondition,LocalCulturalLevel,PartTimeJob,PartTimeHours,Dropout
18,Nam,Ngành Thương mại Điện tử,Có Chuyển Khi Nhập Học,3.4,Cao,3,Kinh,Tiếng Việt,Không tốt,Đại Học,Đại Học,Lao động tự do,Lao động tự do,Không tốt,Không tốt,Có,Có,Không,Có,Không,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Chưa hài lòng,Không,Chưa tốt,Cao,Không,0,TRUE
19,Nam,Ngành Khoa học máy tính,Có Chuyển Khi Hết Năm 1,3.8,Cao,9,Khác,Khác,Không tốt,Thấp hơn,Thấp hơn,Kinh doanh,Khác,Không tốt,Không tốt,Không,Không,Có,Chưa bao giờ,Có,Có,Có,Nhiều hơn 2 tiếng,Rất tốt,Rất tốt,Có,Tốt,Cao,Không,0,FALSE
18,Nam,Ngành Quản trị Khách sạn TROY,Không,1.8,Thấp,6,Khác,Tiếng Việt,Khá tốt,Đại Học,Cao Đẳng,Kinh doanh,Kinh doanh,Không tốt,Tốt,Có,Không,Không,Có,Có,Không,Không,Ít hơn 2 tiếng,Rất tốt,Rất tốt,Không,Tốt,Trung Bình,Có,4,FALSE
19,Nữ,Ngành Công nghệ Thực phẩm,Có Chuyển Khi Hết Năm 1,1.6,Thấp,1,Kinh,Tiếng Việt,Khá tốt,Thấp hơn,Thấp hơn,Khác,Khác,Không tốt,Không tốt,Không,Không,Không,Chưa bao giờ,Có,Không,Không,Ít hơn 2 tiếng,Tốt,Tốt,Có,Chưa tốt,Trung Bình,Không,0,FALSE
20,Nữ,Ngành Răng-Hàm-Mặt,Có Chuyển Khi Nhập Học,1.8,Cao,1,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Cao Đẳng,Khác,Công chức nhà nước,Tốt,Tốt,Có,Không,Không,Chưa bao giờ,Không,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Chưa hài lòng,Có,Tốt,Cao,Có,4,FALSE
18,Nam,Ngành Quản trị Kinh doanh,Có Chuyển Khi Nhập Học,1.8,Cao,2,Khác,Tiếng Anh,Khá tốt,Đại Học,Thấp hơn,Nghỉ Hưu,Kinh doanh,Tốt,Tốt,Có,Có,Có,Chưa bao giờ,Có,Không,Có,Ít hơn 2 tiếng,Chưa tốt,Chưa hài lòng,Có,Tốt,Cao,Không,0,TRUE
18,Nam,Ngành An toàn Thông tin,Có Chuyển Khi Nhập Học,2.8,Cao,8,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Đại Học,Nghỉ Hưu,Khác,Tốt,Không tốt,Không,Không,Không,Có,Không,Không,Có,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Có,5,FALSE
20,Nam,Chương trình Liên kết Du học Hoa Kỳ ASU 2+2,Không,1.9,Thấp,3,Kinh,Tiếng Việt,Không tốt,Cao Đẳng,Sau Đại Học,Kinh doanh,Nghỉ Hưu,Không tốt,Không tốt,Có,Có,Không,Có,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Tốt,Có,Chưa tốt,Cao,Không,0,FALSE
20,Nữ,Ngành Quản trị Nhân lực,Không,1.1,Thấp,1,Khác,Tiếng Anh,Khá tốt,Sau Đại Học,Thấp hơn,Khác,Nghỉ Hưu,Không tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Chưa hài lòng,Có,Chưa tốt,Trung Bình,Có,4,TRUE
18,Nữ,Ngành Kỹ thuật Xây dựng,Không,1.7,Thấp,2,Khác,Tiếng Việt,Khá tốt,Đại Học,Sau Đại Học,Công chức nhà nước,Nghỉ Hưu,Không tốt,Tốt,Không,Có,Không,Có,Có,Có,Không,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Có,Tốt,Cao,Có,5,FALSE
